method,family,M,p,unroll,prefetch,block,topk,latency_ms,recall,encode_ms,lut_ms,scan_ms,select_ms,rerank_ms,build_time_sec,index_size_mb
Flat-AVX-prefetch32,flat,0,0,1,32,0,heap,2.907557,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch64,flat,0,0,1,64,0,heap,2.773129,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch64,flat,0,0,1,64,0,heap,2.756348,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch64,flat,0,0,1,64,0,heap,2.713458,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-pf4-FixedTopK,flat,0,0,1,4,0,fixed-array,2.678604,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-pf4-FixedTopK,flat,0,0,1,4,0,fixed-array,2.822167,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-pf4-FixedTopK,flat,0,0,1,4,0,fixed-array,2.745028,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-pf8-FixedTopK,flat,0,0,1,8,0,fixed-array,2.908383,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-pf8-FixedTopK,flat,0,0,1,8,0,fixed-array,2.820714,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-pf8-FixedTopK,flat,0,0,1,8,0,fixed-array,2.794674,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-pf16-FixedTopK,flat,0,0,1,16,0,fixed-array,2.834238,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-pf16-FixedTopK,flat,0,0,1,16,0,fixed-array,2.730601,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-pf16-FixedTopK,flat,0,0,1,16,0,fixed-array,2.773527,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-pf32-FixedTopK,flat,0,0,1,32,0,fixed-array,2.763677,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
